序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
37,003030,祖名股份,2026-06-04,5家机构卖出，成功率21.16%,20.42,-4.2214,-25593619.16,99516173.06,125109792.22,224625965.28,450666059,-5.679065163414,49.843106840225,5.9241,1653181248.5,连续三个交易日内，跌幅偏离值累计达到20%的证券,,,,
38,113701,祥和转债,2026-06-04,,174.986,19.9997,8350450.0,312355150.0,304004700.0,616359850.0,1654604180,0.504679614674,37.251196234739,,,"非上市首日,当日收盘价涨幅达15%的前五只可转债",,,,
39,118033,华特转债,2026-06-04,,243.461,14.6557,-9500150.0,1921765500.0,1931265650.0,3853031150.0,7680653590,-0.123689343474,50.165407212435,,,连续3个交易日内日收盘价格涨幅偏离值达到30%的可转债,,,,
40,300726,宏达电子,2026-06-04,2家机构买入，成功率45.13%,79.92,20.0,89843306.8,292475958.09,202632651.29,495108609.38,2058301827,4.364923823196,24.054227756365,12.5381,17137918766.16,日涨幅达到15%的前5只证券,,,,
41,300726,宏达电子,2026-06-04,4家机构买入，成功率23.92%,79.92,20.0,1612184.6099999,743869976.56,742257791.95,1486127768.51,5572978838,0.028928597378,26.666668073036,12.5381,17137918766.16,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
42,301013,利和兴,2026-06-04,3家机构买入，成功率27.08%,59.36,9.7633,40784625.66,606256532.98,565471907.32,1171728440.3,3623880617,1.125440652451,32.333527622386,32.263,11233383631.68,日换手率达到30%的前5只证券,,,,
43,301123,奕东电子,2026-06-04,3家机构买入，成功率44.66%,106.79,20.0022,264023101.53,458360228.48,194337126.95,652697355.43,2505965401,10.535783990659,26.04574489215,15.4687,17624796308.44,日涨幅达到15%的前5只证券,,,,
44,301139,*ST元道,2026-06-04,3家机构卖出，成功率13.30%,5.9,-6.793,-7136148.0,11967810.0,19103958.0,31071768.0,184366926,-3.870622651701,16.853222361586,38.3486,449386173.2,日换手率达到30%的前5只证券,,,,
45,301188,力诺药包,2026-06-04,3家机构买入，成功率32.62%,54.54,20.0,44550060.09,335792107.52,291242047.43,627034154.95,1774550011,2.510498989256,35.334825790379,13.5081,14591446982.1,日涨幅达到15%的前5只证券,,,,
46,301319,唯特偶,2026-06-04,4家机构买入，成功率52.20%,137.57,20.0017,188696828.01,436925584.18,248228756.17,685154340.35,2201263757,8.572204371691,31.125499530495,12.4906,18833825363.03,日涨幅达到15%的前5只证券,,,,
47,301329,信音电子,2026-06-04,3家机构卖出，成功率27.47%,32.69,-1.7433,-13227703.75,54643923.61,67871627.36,122515550.97,721770054,-1.832675611394,16.974318938702,37.9409,1959569360.0,日换手率达到30%的前5只证券,,,,
48,301468,博盈特焊,2026-06-04,4家机构买入，成功率46.56%,51.97,19.9954,151655772.99,253819810.29,102164037.3,355983847.59,1076237426,14.091293363924,33.076702128179,22.6541,5067251074.36,日涨幅达到15%的前5只证券,,,,
49,301563,云汉芯城,2026-06-04,4家机构买入，成功率26.91%,224.25,8.8592,-19534546.91,251049538.09,270584085.0,521633623.09,1677756972,-1.164325181538,31.091131301822,39.805,4291179603.75,日换手率达到30%的前5只证券,,,,
50,301591,肯特股份,2026-06-04,2家机构卖出，成功率30.59%,51.21,-3.4138,-24671259.38,67629434.41,92300693.79,159930128.2,761040139,-3.241781624346,21.014677150951,34.5327,2288818045.08,日换手率达到30%的前5只证券,,,,
51,600105,永鼎股份,2026-06-04,买一主买，成功率47.20%,54.29,4.5647,1067027107.6,4240434963.0,3173407855.4,7413842818.4,29151869256,3.660235637824,25.431792223321,10.1008,79371697800.58,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
52,600121,郑州煤电,2026-06-04,西藏自治区资金买入，成功率37.84%,5.7,0.1757,-24062651.14,135548757.38,159611408.52,295160165.9,1840623652,-1.3073096781,16.035878142676,25.751,6944948616.6,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
53,600246,万通发展,2026-06-04,买一主买，成功率50.10%,18.87,10.0292,102289605.89,1056411003.72,954121397.83,2010532401.55,7579288154,1.349593837991,26.526665310765,7.9838,35672083422.12,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
54,600255,鑫科材料,2026-06-04,普通席位买入，成功率61.63%,4.83,10.0228,-113952193.98,166313876.9,280266070.88,446579947.78,2959451119,-3.850450282771,15.089958570794,34.3685,8723689792.65,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,
55,600280,中央商场,2026-06-04,江苏资金卖出，成功率30.53%,3.59,-10.0251,-33683669.7,34999603.0,68683272.7,103682875.7,584778571,-5.760072507855,17.73027960356,13.8845,4050721888.92,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,,,,
56,600293,三峡新材,2026-06-04,普通席位买入，成功率58.59%,3.6,10.0917,40345916.98,60824023.6,20478106.62,81302130.22,274666344,14.689064700261,29.600324901838,6.8731,4176522165.6,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
57,600367,红星发展,2026-06-04,普通席位买入，成功率46.31%,46.98,9.9977,221818872.05,541162951.05,319344079.0,860507030.05,3778814657,5.870064879713,22.771877113792,21.6067,15126300090.36,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
58,600403,大有能源,2026-06-04,普通席位买入，成功率40.29%,7.4,9.9554,-34501511.72,91568763.28,126070275.0,217639038.28,832057193,-4.146531273362,26.156740198988,1.1075,17692011774.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
59,600408,安泰集团,2026-06-04,普通席位买入，成功率49.55%,3.47,10.1587,30229894.37,80200406.37,49970512.0,130170918.37,508666646,5.942967679858,25.590614087561,15.198,3493596000.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
60,600421,退市华嵘,2026-06-04,卖一主卖，成功率27.90%,0.33,-2.9412,-560121.83,1345953.0,1906074.83,3252027.83,4424507,-12.659530881068,73.500343202079,6.8169,64548000.0,退市整理的证券,,,,
