序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,tag,source,涨停价,涨速,振幅
54,002849,威星智能,9.98774528503418,17.95,359759312,3928296182.7999997,3960380587.2,9.256128311157227,3863019.0,094509,141006,16,1/1,1.0,通用设备,涨停,akshare:stock_zt_pool_em,,,
55,002824,和胜股份,10.01733112335205,31.74,445761584,7178830366.2,9876816127.68,6.371550559997559,142767345.0,094515,094515,0,3/2,1.0,工业金属,涨停,akshare:stock_zt_pool_em,,,
56,603267,鸿远电子,10.0,68.42,964994352,15810554630.640001,15810554630.640001,6.230802536010742,48189027.0,094523,095959,4,1/1,1.0,军工电子,涨停,akshare:stock_zt_pool_em,,,
57,603002,宏昌电子,9.9827880859375,19.17,1005265840,21740285017.530003,21740285075.04,4.742600917816162,70842735.0,094525,094655,2,5/3,1.0,电子化学,涨停,akshare:stock_zt_pool_em,,,
58,000506,招金黄金,9.9781494140625,15.1,910113376,14023475111.1,14028168176.0,6.6322855949401855,90623737.0,094600,095733,1,2/2,2.0,贵金属,涨停,akshare:stock_zt_pool_em,,,
59,688603,天承科技,20.00129508972168,185.33,1619466752,8788646425.310001,23115196032.920002,18.92617416381836,13941078.0,094630,134218,20,1/1,1.0,电子化学,涨停,akshare:stock_zt_pool_em,,,
60,603458,勘设股份,10.023130416870117,14.27,400218272,4368396814.78,4368396786.24,9.259713172912598,40175758.0,094745,132030,4,1/1,1.0,工程咨询,涨停,akshare:stock_zt_pool_em,,,
61,000700,模塑科技,10.0,15.84,656525936,14541363761.76,14541363809.28,4.644489288330078,115031252.0,094839,094839,0,1/1,1.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
62,601133,柏诚股份,10.016977310180664,32.4,901771792,16990130505.599998,17107797196.8,5.404565334320068,11884320.0,094907,103419,11,1/1,1.0,专业工程,涨停,akshare:stock_zt_pool_em,,,
63,605589,圣泉集团,9.996570587158203,64.15,3971066080,54265703721.700005,54295822018.4,7.511877059936523,156686888.0,095012,100557,6,5/3,1.0,塑料,涨停,akshare:stock_zt_pool_em,,,
64,002961,瑞达期货,9.994874000549316,21.46,186670820,10234943187.18,10234991622.4,1.8670052289962769,86675545.0,095109,095109,0,1/1,1.0,多元金融,涨停,akshare:stock_zt_pool_em,,,
65,301566,达利凯普,20.01310157775879,36.64,1221599152,7734219399.36,14656366400.0,16.439502716064453,54677872.0,095154,102512,6,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
66,603618,杭电股份,10.010293006896973,42.75,3953371184,29556307584.0,29556307584.0,13.598163604736328,46956300.0,095228,132916,13,1/1,1.0,电网设备,涨停,akshare:stock_zt_pool_em,,,
67,003036,泰坦股份,10.004868507385254,90.38,808423168,19547909519.44,19548411128.44,4.255260944366455,35682024.0,095333,103018,6,8/4,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
68,603373,安邦护卫,9.990889549255371,36.22,93950659,2303669909.22,5452473139.7,4.192562580108643,25603918.0,095452,095452,0,1/1,1.0,专业服务,涨停,akshare:stock_zt_pool_em,,,
69,600636,退市国化,9.756096839904785,1.8,15754682,789546243.6,789546240.0,2.0562655925750732,5064139.0,095619,095640,1,1/1,1.0,教育,涨停,akshare:stock_zt_pool_em,,,
70,600703,三安光电,9.98563289642334,15.31,4794633472,76381876710.37,76381875133.44,6.392751216888428,138768798.0,095637,110655,31,1/1,1.0,光学光电,涨停,akshare:stock_zt_pool_em,,,
71,600460,士兰微,10.015551567077637,35.37,3110196144,58858221157.649994,58858220980.799995,5.392437934875488,149731042.0,095915,102439,5,1/1,1.0,半导体,涨停,akshare:stock_zt_pool_em,,,
72,301387,光大同创,19.997947692871094,116.95,860590448,4991931691.8,12484085507.800001,17.883514404296875,17203345.0,100012,131051,9,1/1,1.0,消费电子,涨停,akshare:stock_zt_pool_em,,,
73,603115,海星股份,9.997780799865723,99.13,466929104,23978595352.0,23978595352.0,2.0083062648773193,35756191.0,100120,100708,1,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
74,600183,生益科技,10.001321792602539,166.41,8757312512,398469001937.04,404229731397.12,2.256610155105591,733926010.0,100150,100150,0,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
75,000636,风华高科,9.99661636352539,65.03,9129482240,75240562608.33,75240569436.48,12.430461883544922,194914353.0,100254,104336,5,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
76,002174,游族网络,10.019841194152832,11.09,349235696,10859982775.78,10866103546.4,3.286435127258301,69609756.0,100409,100409,0,1/1,1.0,游戏Ⅱ,涨停,akshare:stock_zt_pool_em,,,
77,601636,旗滨集团,9.984639167785645,7.16,1334509312,21183960692.48,21183960692.48,6.421800136566162,26076004.0,100925,144510,16,1/1,1.0,玻璃玻纤,涨停,akshare:stock_zt_pool_em,,,
78,002972,科安达,9.984871864318848,14.54,166268216,1957757420.1,3576967952.0,8.760581016540527,19940446.0,101048,101048,0,1/1,1.0,轨交设备,涨停,akshare:stock_zt_pool_em,,,
79,002897,意华股份,10.002532958984375,86.88,979878752,15850536025.439999,16844354868.48,6.316182613372803,41496060.0,101136,135403,7,1/1,1.0,通信设备,涨停,akshare:stock_zt_pool_em,,,
80,688167,炬光科技,20.001205444335938,398.26,4239342320,51829146590.46,51829146590.46,8.666099548339844,99803956.0,101245,111400,10,3/2,1.0,半导体,涨停,akshare:stock_zt_pool_em,,,
81,002426,胜利精密,9.97150993347168,3.86,1718927856,13134035579.26,13134136051.199999,13.287118911743164,13717668.0,101303,132442,12,1/1,1.0,消费电子,涨停,akshare:stock_zt_pool_em,,,
82,002859,洁美科技,10.002656936645508,82.81,1769139376,33612529728.05,35709872758.56,5.344053268432617,38417877.0,101406,105712,10,1/1,1.0,其他电子,涨停,akshare:stock_zt_pool_em,,,
83,603726,朗迪集团,10.0,27.83,231467013,5140373546.0,5166672896.0,4.593770980834961,25010821.0,101529,105944,3,1/1,1.0,家电零部,涨停,akshare:stock_zt_pool_em,,,
84,600563,法拉电子,10.0,157.3,1394519232,35392500000.0,35392500000.0,4.028626441955566,49128093.0,101703,111921,25,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
